Student_ID,Name,Gender,Age,Class,City,Attendance_Percentage,Mathematics,Science,English,Social_Studies,Computer_Science,Hindi
STU00752,Rohan Reddy,Male,15,10,Hyderabad,63.6,60.0,56.0,83.0,53.0,76.0,54.0
STU00256,Vijay Malhotra,Male,18,9,Hyderabad,,71.0,65.0,46.0,33.0,65.0,53.0
STU00457,Yash Agarwal,Male,14,10,Patna,68.6,76.0,58.0,62.0,70.0,41.0,82.0
STU00456,Shreya Kumar,Male,15,9,Chennai,72.9,48.0,63.0,51.0,64.0,54.0,35.0
STU00294,Anjali Verma,Female,18,11,Hyderabad,81.8,79.0,41.0,62.0,48.0,79.0,100.0
STU00129,Anjali Gupta,Male,14,10,Kolkata,96.2,70.0,64.0,34.0,45.0,83.0,61.0
STU00238,Neha Kapoor,MALE,16,10,Chandigarh,100.0,47.0,79.0,43.0,50.0,78.0,
STU00621,Sanya Kapoor,Female,18,9,Bengaluru,80.7,78.0,39.0,68.0,52.0,,50.0
STU00514,Vihaan Patel,Female,15,9,Patna,,85.0,56.0,,54.0,79.0,75.0
STU00078,Diya Yadav,M,16,9,Patna,,63.0,37.0,20.0,40.0,62.0,51.0
STU00070,Karthik Iyer,Male,17,12,Lucknow,68.4,75.0,56.0,28.0,44.0,86.0,53.0
STU00329,Shreya Chauhan,Male,17,9,Patna,96.1,58.0,67.0,68.0,48.0,45.0,80.0
STU01113,Ananya Chauhan,Male,17,12,Pune,86.9,86.0,58.0,49.0,72.0,100.0,61.0
STU00039,Karthik Singh,Male,18,10,Chennai,85.9,,52.0,61.0,43.0,31.0,47.0
STU00616,Aman Malhotra,Female,15,9,Nagpur,100.0,76.0,72.0,63.0,45.0,67.0,33.0
STU00081,Vijay Yadav,Male,15,12,Ahmedabad,58.1,63.0,31.0,5.0,39.0,58.0,62.0
STU00096,Anjali Chauhan,Male,16,11,Kolkata,97.1,81.0,68.0,40.0,47.0,,73.0
STU00820,Krishna Patel,Male,14,9,Ahmedabad,74.7,27.0,65.0,65.0,79.0,63.0,95.0
STU00768,Aman Sharma,Female,15,11,Hyderabad,86.8,51.0,69.0,55.0,70.0,59.0,59.0
STU00094,Reyansh Nair,Male,14,10,Kolkata,71.6,94.0,76.0,82.0,70.0,87.0,49.0
STU00432,Arjun Kapoor,Female,16,11,Kolkata,80.5,,65.0,66.0,70.0,65.0,47.0
STU00861,Vihaan Malhotra,Female,14,11,Kolkata,81.3,65.0,80.0,61.0,53.0,89.0,55.0
STU01111,Deepak Kumar,Female,14,9,Delhi,93.8,72.0,66.0,38.0,66.0,54.0,76.0
STU00054,Nisha Yadav,Female,14,10,Nagpur,87.2,46.0,50.0,44.0,51.0,88.0,85.0
STU00709,Neha Iyer,Female,16,9,Mumbai,85.5,69.0,53.0,55.0,59.0,66.0,89.0
STU00353,Sai Joshi,Male,15,9,Jaipur,66.6,58.0,76.0,94.0,48.0,57.0,71.0
STU00509,Yash Rao,Female,14,11,Pune,83.3,56.0,29.0,61.0,99.0,100.0,58.0
STU00737,Diya Singh,Male,14,10,Bengaluru,80.8,94.0,55.0,58.0,100.0,62.0,50.0
STU01140,Rahul Yadav,Male,14,10,Pune,88.4,94.0,64.0,,22.0,87.0,63.0
STU00062,Meera Rao,Male,18,12,Mumbai,98.0,52.0,32.0,74.0,66.0,61.0,
STU00657,Nisha Pandey,Male,14,12,Mumbai,57.4,87.0,57.0,54.0,19.0,44.0,25.0
STU00605,Aryan Agarwal,Female,14,10,Indore,107.0,54.0,58.0,38.0,100.0,81.0,51.0
STU00093,Ishita Iyer,Female,14,9,Chennai,75.8,62.0,49.0,85.0,52.0,80.0,81.0
STU00626,Rohan Iyer,Male,15,11,Patna,76.2,47.0,93.0,43.0,80.0,57.0,52.0
STU01144,Rakesh Bhat,Male,17,9,Bhopal,91.9,54.0,80.0,55.0,35.0,108,81.0
STU00149,Vikram Iyer,Male,15,9,Nagpur,83.3,94.0,39.0,71.0,79.0,97.0,79.0
STU00639,Meera Kapoor,Female,16,12,Indore,77.0,67.0,80.0,78.0,60.0,72.0,68.0
STU01196,Priya Kumar,Female,15,12,Nagpur,82.1,65.0,48.0,77.0,26.0,100.0,69.0
STU00173,Rakesh Patel,Male,18,12,Lucknow,86.7,55.0,27.0,66.0,74.0,38.0,52.0
STU00619,Aarav Gupta,Male,16,10,Bhopal,41.6,44.0,69.0,55.0,67.0,72.0,35.0
STU00032,Rahul Agarwal,Female,14,11,Bhopal,100.0,89.0,39.0,34.0,68.0,91.0,33.0
STU01085,Deepak Agarwal,Male,14,11,Indore,65.9,42.0,54.0,34.0,71.0,83.0,48.0
STU00136,Aryan Sharma,Female,16,9,Mumbai,86.4,78.0,56.0,55.0,51.0,92.0,53.0
STU00272,Krishna Kumar,Male,16,12,Chandigarh,83.3,108,29.0,62.0,24.0,41.0,45.0
STU00462,Diya Gupta,Female,14,10,Jaipur,86.1,61.0,89.0,60.0,57.0,77.0,54.0
STU00301,Pooja Kapoor,Female,16,10,Patna,93.5,84.0,51.0,82.0,50.0,44.0,21.0
STU00567,Nisha Kapoor,Female,14,9,Nagpur,81.4,,39.0,63.0,60.0,,61.0
STU00975,Aarav Reddy,Male,16,10,Delhi,,81.0,55.0,12.0,66.0,52.0,100.0
STU00609,Sanya Malhotra,Male,16,9,Mumbai,98.0,,35.0,24.0,AB,,73.0
STU00178,Amit Agarwal,Female,14,11,Ahmedabad,79.4,98.0,60.0,75.0,43.0,83.0,57.0
STU01171,Ananya Nair,Male,17,12,Chandigarh,55.8,89.0,43.0,51.0,53.0,46.0,87.0
STU01096,Rahul Iyer,Male,17,12,Bhopal,91.6,94.0,32.0,81.0,79.0,50.0,68.0
STU00043,Neha Malhotra,Male,14,10,Hyderabad,99.9,78.0,,54.0,31.0,87.0,68.0
STU00428,Aryan Bhat,Male,17,11,Delhi,91.7,84.0,,37.0,32.0,81.0,61.0
STU00375,Dhruv Kumar,Male,15,9,Jaipur,98.2,81.0,55.0,78.0,55.0,100.0,83.0
STU01181,Neha Kapoor,Female,17,10,Hyderabad,71.2,55.0,32.0,50.0,,71.0,69.0
STU00815,Yash Gupta,Male,16,10,Indore,85.6,71.0,65.0,56.0,27.0,39.0,52.0
STU00538,Priya Kumar,Male,16,12,Ahmedabad,87.5,55.0,66.0,31.0,93.0,96.0,82.0
STU00565,Riya Chauhan,Male,15,9,Jaipur,93.7,82.0,31.0,69.0,59.0,73.0,59.0
STU00218,Diya Gupta,Female,16,9,Pune,84.4,73.0,40.0,67.0,74.0,67.0,68.0
STU01078,Sneha Rao,Male,15,9,Bhopal,80.7,21.0,96.0,,42.0,56.0,72.0
STU01006,Ishita Nair,Female,14,9,Lucknow,59.4,,45.0,34.0,57.0,74.0,52.0
STU00345,Diya Kapoor,Male,17,9,Pune,,100.0,67.0,34.0,52.0,100.0,42.0
STU00061,Diya Yadav,Male,14,10,Hyderabad,100.0,36.0,89.0,75.0,32.0,65.0,34.0
STU01055,Aryan Patel,Female,16,12,Patna,78.4,53.0,47.0,65.0,81.0,58.0,61.0
STU00391,Manoj Chauhan,Male,17,12,Mumbai,79.0,63.0,54.0,18.0,68.0,16.0,53.0
STU00607,Priya Pandey,Male,17,12,Hyderabad,82.4,59.0,49.0,22.0,54.0,46.0,45.0
STU00954,Aryan Kumar,Female,15,12,Ahmedabad,88.2,79.0,73.0,38.0,76.0,35.0,55.0
STU00450,Aditya Chauhan,Female,16,9,Bhopal,82.9,58.0,62.0,52.0,36.0,74.0,53.0
STU00882,Aarav Chauhan,Male,17,10,Pune,82.4,31.0,93.0,14.0,53.0,46.0,57.0
STU01042,Dhruv Yadav,Male,18,11,Chandigarh,89.0,63.0,36.0,46.0,55.0,75.0,71.0
STU00628,Neha Verma,Male,14,11,Kolkata,82.3,37.0,81.0,54.0,38.0,78.0,63.0
STU00124,Shreya Iyer,Female,17,10,Nagpur,78.6,62.0,61.0,50.0,48.0,,60.0
STU00332,Vivaan Singh,Male,15,11,Indore,72.9,54.0,34.0,53.0,100.0,54.0,78.0
STU00971,Reyansh Patel,Male,15,9,Nagpur,96.0,15.0,50.0,28.0,100.0,55.0,43.0
STU00655,Ananya Pandey,Female,15,9,Indore,78.8,59.0,49.0,76.0,24.0,40.0,91.0
STU00040,Riya Yadav,Male,18,9,Chandigarh,89.2,21.0,69.0,24.0,67.0,69.0,48.0
STU00233,Aarav Agarwal,Male,15,9,Kolkata,98.5,46.0,42.0,39.0,79.0,67.0,70.0
STU01192,Rakesh Nair,Female,16,12,Jaipur,85.8,45.0,94.0,88.0,70.0,87.0,50.0
STU00295,Vikram Bhat,Male,16,9,Patna,77.9,31.0,44.0,30.0,6.0,80.0,36.0
STU01132,Vivaan Mehta,Male,16,12,Hyderabad,,71.0,,77.0,25.0,78.0,46.0
STU00828,Reyansh Singh,Male,14,9,Delhi,78.6,25.0,65.0,64.0,,45.0,74.0
STU00665,Anjali Reddy,Female,14,11,Hyderabad,68.8,40.0,32.0,61.0,28.0,65.0,51.0
STU00799,Meera Malhotra,Female,17,10,Mumbai,63.6,59.0,24.0,83.0,53.0,94.0,
STU00516,Ishita Kumar,Female,16,10,Pune,,62.0,54.0,59.0,100.0,40.0,44.0
STU00908,Manoj Gupta,Female,15,9,Pune,69.2,48.0,45.0,67.0,79.0,,39.0
STU00412,Sai Yadav,Female,14,10,Bengaluru,78.2,72.0,32.0,49.0,60.0,56.0,77.0
STU00376,Amit Gupta,Male,14,12,Mumbai,83.8,100.0,73.0,57.0,85.0,66.0,96.0
STU00503,Sai Mishra,Male,14,11,Jaipur,99.2,60.0,52.0,58.0,108,68.0,73.0
STU00747,Vivaan Reddy,Male,14,9,Bhopal,94.6,50.0,51.0,79.0,52.0,32.0,
STU00918,Ananya Gupta,Male,17,9,Kolkata,86.0,92.0,57.0,86.0,59.0,72.0,38.0
STU00504,Suresh Mehta,Female,16,11,Chennai,87.0,-5,37.0,68.0,47.0,79.0,61.0
STU00427,Amit Singh,Male,15,12,Hyderabad,100.0,87.0,51.0,53.0,74.0,68.0,35.0
STU01124,Aditi Kumar,Male,18,11,Chennai,72.4,62.0,,,53.0,70.0,50.0
STU01187,Aditya Nair,Female,18,10,Ahmedabad,80.3,77.0,87.0,38.0,59.0,100.0,46.0
STU00058,Sanya Joshi,Female,17,11,Ahmedabad,97.1,71.0,46.0,49.0,26.0,,28.0
STU00465,Ananya Joshi,Female,18,9,Indore,68.4,65.0,51.0,59.0,26.0,100.0,60.0
STU00562,Kabir Singh,Male,18,11,Bhopal,,64.0,66.0,100.0,61.0,66.0,27.0
STU00994,Vikram Singh,Male,18,11,Lucknow,57.4,94.0,53.0,34.0,62.0,59.0,58.0
STU01142,Dhruv Kapoor,Male,16,12,Chandigarh,81.7,85.0,68.0,33.0,41.0,60.0,41.0
STU00909,Rohan Patel,Male,16,9,Ahmedabad,73.7,83.0,81.0,55.0,81.0,51.0,72.0
STU00641,Tanvi Malhotra,Male,16,10,Jaipur,81.5,57.0,67.0,90.0,22.0,42.0,42.0
STU00703,Krishna Kumar,Female,14,11,Kolkata,76.2,95.0,72.0,50.0,67.0,64.0,63.0
STU00084,Dhruv Kumar,Female,14,12,Delhi,59.4,43.0,50.0,76.0,45.0,58.0,
STU00777,Kavya Chauhan,Male,16,11,Delhi,93.0,52.0,50.0,30.0,58.0,88.0,89.0
STU01029,Tanvi Malhotra,Male,14,10,Kolkata,75.8,60.0,77.0,58.0,69.0,67.0,52.0
STU00108,Tanvi Patel,F,17,12,Hyderabad,100.0,39.0,58.0,61.0,23.0,91.0,78.0
STU00003,Diya Pandey,Female,15,11,Hyderabad,75.4,50.0,79.0,43.0,40.0,85.0,72.0
STU00042,Reyansh Bhat,Male,14,10,Ahmedabad,80.4,54.0,51.0,43.0,82.0,47.0,38.0
STU00764,Dhruv Gupta,Male,14,12,Pune,85.3,58.0,64.0,36.0,74.0,62.0,52.0
STU00087,Shreya Malhotra,Male,17,10,Ahmedabad,77.2,74.0,58.0,61.0,54.0,82.0,50.0
STU00483,Deepak Joshi,Female,18,12,Patna,80.9,35.0,48.0,34.0,56.0,69.0,50.0
STU00789,Kavya Kapoor,Female,18,9,Delhi,90.1,84.0,52.0,73.0,70.0,83.0,38.0
STU00221,Amit Reddy,Female,18,10,Bhopal,70.0,64.0,44.0,89.0,31.0,70.0,68.0
STU00105,Kabir Kapoor,Female,14,12,Nagpur,78.9,68.0,58.0,87.0,87.0,82.0,34.0
STU00471,Anjali Iyer,Male,14,9,Mumbai,81.8,100.0,68.0,71.0,75.0,67.0,53.0
STU01135,Arjun Agarwal,Male,18,9,Chandigarh,78.0,79.0,54.0,84.0,,62.0,57.0
STU00561,Aarav Verma,Male,17,11,Kolkata,52.9,77.0,91.0,57.0,53.0,45.0,60.0
STU00370,Tanvi Pandey,Male,14,9,Jaipur,57.9,40.0,51.0,56.0,45.0,41.0,61.0
STU00293,Ananya Mishra,Female,14,9,Hyderabad,89.0,73.0,31.0,61.0,51.0,74.0,52.0
STU00310,Aditya Gupta,Female,15,9,Pune,87.6,,66.0,52.0,61.0,61.0,65.0
STU00710,Suresh Rao,Female,18,10,Mumbai,,52.0,44.0,54.0,29.0,78.0,71.0
STU01013,Aditya Rao,Female,15,11,Chandigarh,85.0,65.0,34.0,,75.0,77.0,56.0
STU00769,Reyansh Gupta,Male,15,11,Delhi,75.2,90.0,39.0,53.0,81.0,29.0,78.0
STU00536,Meera Singh,Female,14,12,Hyderabad,71.5,55.0,15.0,61.0,42.0,52.0,60.0
STU00836,Shreya Joshi,Female,16,12,Pune,71.4,46.0,47.0,72.0,42.0,56.0,53.0
STU00893,Tanvi Singh,Female,18,9,Ahmedabad,86.7,46.0,62.0,50.0,43.0,46.0,68.0
STU00468,Diya Mishra,Male,17,9,Jaipur,100.0,58.0,82.0,54.0,51.0,42.0,59.0
STU01009,Ananya Malhotra,Male,16,12,Chennai,81.0,87.0,81.0,37.0,61.0,43.0,83.0
STU01161,Vihaan Sharma,Female,14,9,Bengaluru,100.0,62.0,73.0,47.0,46.0,35.0,48.0
STU00068,Nisha Reddy,Female,15,9,Pune,82.4,46.0,77.0,61.0,70.0,64.0,39.0
STU00270,Kavya Sharma,Male,18,11,Bengaluru,81.5,78.0,67.0,52.0,70.0,48.0,
STU00957,Aarav Kapoor,Male,15,9,Delhi,83.1,43.0,47.0,74.0,48.0,88.0,59.0
STU01190,Vijay Yadav,Male,16,9,Chennai,100.0,59.0,72.0,61.0,47.0,70.0,77.0
STU00290,Manoj Gupta,Male,16,12,Mumbai,96.1,84.0,38.0,AB,62.0,74.0,77.0
STU00951,Kavya Mehta,Female,18,11,Patna,80.9,64.0,58.0,68.0,55.0,80.0,82.0
STU00898,Ishita Singh,Male,17,10,Kolkata,75.8,64.0,71.0,37.0,97.0,61.0,92.0
STU01074,Krishna Mishra,Female,15,9,Jaipur,100.0,83.0,54.0,47.0,60.0,94.0,82.0
STU00539,Sneha Kumar,Female,15,10,Bhopal,74.7,25.0,34.0,37.0,66.0,65.0,25.0
STU00540,Ananya Bhat,Female,16,9,Jaipur,96.4,80.0,65.0,58.0,75.0,68.0,81.0
STU01185,Reyansh Kumar,Male,14,9,Chandigarh,81.3,58.0,50.0,59.0,50.0,55.0,55.0
STU01162,Karthik Yadav,male,17,12,Bhopal,96.3,65.0,56.0,57.0,92.0,81.0,57.0
STU00273,Vikram Verma,Male,14,11,Hyderabad,68.0,66.0,86.0,65.0,58.0,79.0,32.0
STU00958,Karthik Mehta,Male,16,12,Bengaluru,69.8,52.0,77.0,63.0,64.0,67.0,56.0
STU00859,Neha Nair,Male,16,10,Ahmedabad,92.7,74.0,46.0,71.0,59.0,38.0,84.0
STU01049,Deepak Pandey,Male,17,12,Pune,,86.0,67.0,84.0,68.0,87.0,100.0
STU00623,Manoj Agarwal,Female,14,12,Delhi,70.6,65.0,58.0,70.0,66.0,95.0,61.0
STU00268,Aditi Kumar,Male,14,9,Lucknow,86.3,72.0,24.0,59.0,63.0,,59.0
STU01053,Suresh Patel,Male,15,11,Delhi,87.0,66.0,60.0,46.0,77.0,70.0,85.0
STU01128,Aryan Yadav,Male,16,9,Kolkata,72.0,72.0,36.0,25.0,88.0,57.0,39.0
STU01026,Reyansh Reddy,Male,16,12,Indore,74.2,26.0,40.0,9.0,57.0,66.0,
STU00165,Sai Joshi,Male,18,9,Chandigarh,75.9,62.0,54.0,43.0,69.0,90.0,78.0
STU00753,Aditi Singh,Female,17,11,Nagpur,96.6,62.0,64.0,83.0,18.0,41.0,75.0
STU00448,Tanvi Chauhan,Female,18,11,Delhi,67.6,72.0,,41.0,68.0,100.0,32.0
STU00312,Reyansh Iyer,Male,17,10,Kolkata,82.8,98.0,59.0,52.0,38.0,62.0,57.0
STU00297,Rohan Agarwal,Female,17,9,Indore,71.4,50.0,44.0,,58.0,67.0,74.0
STU00352,Reyansh Kumar,Male,17,9,Jaipur,,84.0,58.0,14.0,52.0,92.0,54.0
STU00852,Anjali Kumar,Male,17,11,Chandigarh,76.5,44.0,64.0,35.0,63.0,69.0,100.0
STU00240,Meera Gupta,Female,15,10,Jaipur,91.7,57.0,71.0,51.0,64.0,77.0,78.0
STU00280,Nisha Pandey,Male,16,10,Pune,64.5,64.0,71.0,50.0,20.0,80.0,10.0
STU00364,Sneha Verma,Female,18,10,Patna,70.1,56.0,75.0,73.0,67.0,60.0,60.0
STU00327,Ishaan Bhat,Male,15,9,Chennai,75.5,87.0,49.0,50.0,27.0,58.0,68.0
STU01024,Priya Mehta,Male,14,11,Patna,82.9,48.0,55.0,38.0,77.0,69.0,38.0
STU00551,Ishita Rao,Female,15,11,Ahmedabad,,79.0,82.0,22.0,78.0,58.0,20.0
STU00602,Vijay Kapoor,Female,17,12,Bengaluru,,99.0,52.0,58.0,41.0,74.0,34.0
STU00404,Kavya Gupta,Female,17,12,Hyderabad,70.3,59.0,75.0,40.0,55.0,59.0,69.0
STU00083,Ananya Bhat,Male,16,9,Bhopal,94.8,70.0,71.0,77.0,55.0,40.0,40.0
STU00714,Meera Mishra,Female,18,11,Chandigarh,84.9,73.0,55.0,61.0,61.0,13.0,61.0
STU00170,Ishaan Agarwal,Male,18,12,Bengaluru,80.9,67.0,48.0,69.0,51.0,74.0,64.0
STU01159,Vihaan Iyer,Female,17,9,Bhopal,87.2,18.0,54.0,39.0,32.0,83.0,47.0
STU00195,Manoj Kumar,Female,17,10,Lucknow,79.7,36.0,,47.0,38.0,59.0,51.0
STU00215,Vivaan Malhotra,Male,17,11,Hyderabad,89.9,69.0,54.0,62.0,42.0,57.0,47.0
STU00434,Aman Bhat,Female,14,10,Pune,68.2,91.0,72.0,71.0,97.0,61.0,62.0
STU00435,Diya Sharma,Female,15,11,Mumbai,98.9,70.0,41.0,49.0,14.0,74.0,44.0
STU00936,Vivaan Singh,Female,16,10,Bhopal,,36.0,42.0,30.0,79.0,58.0,54.0
STU00316,Tanvi Reddy,Male,15,9,Chennai,87.6,93.0,71.0,54.0,54.0,69.0,61.0
STU00236,Tanvi Bhat,Female,15,11,Patna,81.3,88.0,64.0,27.0,49.0,86.0,61.0
STU00473,Sai Gupta,Female,15,10,Bhopal,71.1,41.0,54.0,75.0,100.0,69.0,54.0
STU00787,Tanvi Bhat,MALE,15,11,Patna,70.2,45.0,38.0,93.0,28.0,89.0,30.0
STU00202,Dhruv Agarwal,Male,14,12,Nagpur,93.4,74.0,99.0,37.0,52.0,85.0,27.0
STU00798,Sneha Kumar,Male,17,11,Kolkata,79.7,68.0,44.0,45.0,35.0,66.0,64.0
STU00350,Aditya Verma,Male,16,11,Indore,80.2,38.0,47.0,66.0,73.0,87.0,36.0
STU00398,Diya Patel,Male,18,9,Pune,80.7,63.0,55.0,48.0,32.0,34.0,50.0
STU00184,Priya Reddy,FEMALE,16,12,Ahmedabad,93.0,21.0,51.0,69.0,33.0,72.0,57.0
STU00560,Sneha Rao,Female,15,9,Pune,100.0,76.0,68.0,52.0,54.0,,58.0
STU00950,Tanvi Reddy,Male,14,11,Delhi,77.7,46.0,50.0,55.0,55.0,52.0,59.0
STU00047,Vikram Nair,Female,18,9,Bengaluru,77.0,76.0,56.0,60.0,55.0,49.0,82.0
STU00026,Shreya Kumar,Female,16,12,Ahmedabad,55.5,75.0,33.0,46.0,52.0,56.0,78.0
